# 
# runname = 'GJ1214'; g = 1.0650e+03; mgas = 8.3027e-24; rho_int = 2.8000e+00; an = 1.0000e-07; mn0 = 1.1729e-20; f_stick = 1.0000e+00; T_star = 3.1100e+03; cs_com = 8.0000e-15; cs_mol = 2.0000e-15; Pref = 1.0000e+06; R_star = 1.5040e+10; Rp = 1.7516e+09; rp = 2.2290e+11; gibbsfile = '/home/helong/ARCiS/code/tables/gibbs_test.txt'; rootdir = '/home/helong/ARCiS/code'; 
# 2Na + 2HCl -> 2NaCl(s) + H2; 2K + 2HCl -> 2KCl(s) + H2; Zn + H2S -> ZnS(s) + H2; 2Na + H2S -> Na2S(s) + H2; 
#cols::logP T(K) rhop(gcm-3) ap(cm) Sn NaCl(s) KCl(s) ZnS(s) Na2S(s) Na HCl K Zn H2S nuclei
  9.7507e-01  5.0422e+02  2.0234e+00  3.0829e-06  3.8319e-75  1.3517e-15  2.2352e-10  5.7460e-10  3.2630e-09  7.3941e-15  1.8962e-17  2.7955e-05  3.3684e-18  7.6148e-03  1.9182e-13
  9.9575e-01  5.0422e+02  2.0234e+00  3.0829e-06  1.9122e-74  1.6648e-15  2.7531e-10  7.0774e-10  4.0191e-09  7.3937e-15  1.8961e-17  2.7955e-05  3.3684e-18  7.6148e-03  2.3626e-13
  1.0164e+00  5.0422e+02  2.0234e+00  3.0829e-06  9.4410e-74  2.0427e-15  3.3779e-10  8.6837e-10  4.9312e-09  7.3931e-15  1.8960e-17  2.7955e-05  3.3683e-18  7.6148e-03  2.8988e-13
  1.0371e+00  5.0423e+02  2.0234e+00  3.0829e-06  4.6117e-73  2.4968e-15  4.1289e-10  1.0614e-09  6.0275e-09  7.3925e-15  1.8959e-17  2.7955e-05  3.3682e-18  7.6148e-03  3.5433e-13
  1.0578e+00  5.0423e+02  2.0234e+00  3.0829e-06  2.2287e-72  3.0405e-15  5.0280e-10  1.2926e-09  7.3401e-09  7.3917e-15  1.8957e-17  2.7955e-05  3.3681e-18  7.6148e-03  4.3149e-13
  1.0785e+00  5.0423e+02  2.0234e+00  3.0829e-06  1.0656e-71  3.6891e-15  6.1006e-10  1.5683e-09  8.9059e-09  7.3907e-15  1.8955e-17  2.7955e-05  3.3680e-18  7.6148e-03  5.2353e-13
  1.0992e+00  5.0424e+02  2.0234e+00  3.0829e-06  5.0408e-71  4.4600e-15  7.3753e-10  1.8960e-09  1.0767e-08  7.3896e-15  1.8953e-17  2.7955e-05  3.3679e-18  7.6148e-03  6.3292e-13
  1.1198e+00  5.0424e+02  2.0234e+00  3.0829e-06  2.3592e-70  5.3728e-15  8.8848e-10  2.2840e-09  1.2970e-08  7.3882e-15  1.8950e-17  2.7955e-05  3.3677e-18  7.6148e-03  7.6246e-13
  1.1405e+00  5.0424e+02  2.0234e+00  3.0829e-06  1.0924e-69  6.4500e-15  1.0666e-09  2.7419e-09  1.5571e-08  7.3866e-15  1.8947e-17  2.7955e-05  3.3676e-18  7.6148e-03  9.1533e-13
  1.1612e+00  5.0424e+02  2.0234e+00  3.0829e-06  5.0043e-69  7.7166e-15  1.2761e-09  3.2804e-09  1.8628e-08  7.3847e-15  1.8943e-17  2.7955e-05  3.3673e-18  7.6148e-03  1.0951e-12
