logP MgSiO3(s) Mg2SiO4(s) SiO2(s) MgO(s) FeO(s) FeS(s) Fe2O3(s) Fe(s) TiO2(s) Al2O3(s) Mg SiO H2O Fe H2S TiO Al nuclei
0.7328064268138249 5.1983633622062236e-14 3.227074136958675e-15 4.642528744514696e-13 5.167391673096415e-14 5.887977518174503e-20 1.932472045019477e-15 4.5536299415010757e-38 1.7220864706371396e-13 2.2298612642812978e-13 3.063270696554573e-12 6.83955278576362e-05 0.0003174749511968704 1.335838487775841e-06 8.02769488976715e-08 0.0007992980845510819 1.1463306923230682e-14 3.810992820321863e-12 1.5952716753449298e-11
0.7531621608919867 6.094470509110053e-14 3.86074492026042e-15 5.333707311046786e-13 5.936812798914588e-14 6.764739593783017e-20 2.2202135159615414e-15 5.338616401844612e-38 1.9800307905140407e-13 2.3216122603069445e-13 3.170220525249401e-12 6.839552785621134e-05 0.00031747495118746976 1.3358384807170464e-06 8.027694453426491e-08 0.0007992980845510637 1.1461699633675274e-14 3.808848828941971e-12 1.8239609975722932e-11
0.7735178949701484 7.130829252673344e-14 4.609640326262178e-15 6.115606235637024e-13 6.80724027694977e-14 7.756715046994205e-20 2.545763411570698e-15 6.246625971247886e-38 2.2721378002850423e-13 2.410788181331419e-13 3.2698669163660587e-12 6.839552785455932e-05 0.00031747495117665826 1.335838472721407e-06 8.027693961165282e-08 0.0007992980845510428 1.1459935688843296e-14 3.80651557243398e-12 2.078534236078901e-11
0.7938736290483103 8.327701006013369e-14 5.493423348682531e-15 6.998933365407469e-13 7.790599931205261e-14 8.877554139146595e-20 2.9135988465033177e-15 7.295537384522773e-38 2.6023550091478566e-13 2.498613432925521e-13 3.363603778940706e-12 6.83955278526473e-05 0.0003174749511642466 1.3358384636801917e-06 8.027693406833425e-08 0.0007992980845510188 1.1458008389874585e-14 3.803986428953951e-12 2.3610806224112415e-11
0.8142293631264721 9.708010455977687e-14 6.534888287956068e-15 7.995491544334704e-13 8.900037797029052e-14 1.0142307541991107e-19 3.328656184387974e-15 8.505604452625566e-38 2.9749834714816766e-13 2.586687168991437e-13 3.4533527795794447e-12 6.839552785043792e-05 0.00031747495115002234 1.33583845347256e-06 8.027692783472565e-08 0.0007992980845509915 1.1455911536376405e-14 3.801255430774102e-12 2.6737832917849225e-11
0.8345850972046338 1.1297631189724877e-13 7.760404123809341e-15 9.118248824165697e-13 1.0149998661377453e-13 1.156751247762184e-19 3.796359442787929e-15 9.899698718769123e-38 3.394694300214887e-13 2.6769606512072963e-13 3.5415342132882156e-12 6.839552784788893e-05 0.0003174749511337475 1.3358384419641662e-06 8.027692083134985e-08 0.0007992980845509602 1.1453639442619006e-14 3.798317302184787e-12 3.018919632971119e-11
0.8549408312827957 1.3125689732614692e-13 9.200408826391358e-15 1.0381407084186855e-12 1.15563019847703e-13 1.3171276406984495e-19 4.322647218824448e-15 1.15035678087699e-37 3.8665484919353545e-13 2.771700563905503e-13 3.6310178521561327e-12 6.839552784495252e-05 0.0003174749511151557 1.33583842900561e-06 8.027691296661125e-08 0.0007992980845509247 1.1451186931183492e-14 3.795167483493038e-12 3.398861577891924e-11
0.8752965653609576 1.5224886558209665e-13 1.0889955302246174e-14 1.180046652610303e-12 1.3136213287517216e-13 1.4973347593888714e-19 4.913997470513517e-15 1.3346093957864024e-37 4.3960219800201356e-13 2.8734399895476213e-13 3.725056043834915e-12 6.839552784157467e-05 0.00031747495109394936 1.3358384144308143e-06 8.027690413418994e-08 0.0007992980845508842 1.144854930128631e-14 3.7918021393617655e-12 3.816075768079197e-11
0.8956522994391193 1.7631841796042015e-13 1.2869323280099509e-14 1.3392289231059556e-12 1.4908516117165394e-13 1.6995197866473002e-19 5.577452407829683e-15 1.545959152682542e-37 4.989037357235242e-13 2.9849195103560124e-13 3.827202420350025e-12 6.839552783769449e-05 0.00031747495106979653 1.3358383980551727e-06 8.027689421014753e-08 0.0007992980845508384 1.1445722269549514e-14 3.7882181499612965e-12 4.2731235073940925e-11
0.9160080335172811 2.0387459246208496e-13 1.5184695671379336e-14 1.5175160353540353e-12 1.689357947723535e-13 1.926009587698978e-19 6.320641277948844e-15 1.7880110647122057e-37 5.652002921785826e-13 3.1090218405194343e-13 3.94122094599932e-12 6.839552783324338e-05 0.00031747495104232745 1.3358383796735976e-06 8.027688304990458e-08 0.0007992980845507864 1.1442701881856432e-14 3.784413083887568e-12 4.772660372595353e-11
0.9363637675954428 2.353730847397576e-13 1.7888907793148312e-14 1.7168847770055046e-12 1.9113424106011585e-13 2.179315395677825e-19 7.151802933884681e-15 2.064779290807116e-37 6.391858291070228e-13 3.2487025040106517e-13 4.0709887441645856e-12 6.839552782814425e-05 0.0003174749510111315 1.3358383590584212e-06 8.027687048528335e-08 0.0007992980845507276 1.1439484395663945e-14 3.7803851519485425e-12 5.3174353748050255e-11
0.9567195016736048 2.7132034574608986e-13 2.104224681278765e-14 1.9394661048808755e-12 2.159179076684188e-13 2.46213893908088e-19 8.079812563553054e-15 2.3806447150341894e-37 7.216125225679824e-13 3.40692099423562e-13 4.220398965629626e-12 6.83955278223106e-05 0.0003174749509757529 1.335838335957128e-06 8.027685632187205e-08 0.0007992980845506611 1.1436066133612427e-14 3.776133141836507e-12 5.91028949476948e-11
0.9770752357517666 3.1227807880612407e-13 2.4713412184500285e-14 2.1875510540362546e-12 2.435420674002559e-13 2.7773882958229795e-19 9.114211094826744e-15 2.74050927718287e-37 8.132960670694857e-13 3.586576332875329e-13 4.393269249580754e-12 6.839552781564544e-05 0.00031747495093568706 1.335838310089864e-06 8.027684033698719e-08 0.0007992980845505861 1.1432443310767117e-14 3.771656334561074e-12 6.554153427146874e-11
0.9974309698299283 3.5886798145391043e-13 2.8980520810664965e-14 2.463596744600814e-12 2.742805135564674e-13 3.128185619222023e-19 1.0265232924298853e-14 3.1498523379828304e-37 9.151207903011014e-13 3.790450624806382e-13 4.5932609157354e-12 6.839552780804035e-05 0.0003174749508903764 1.3358382811468628e-06 8.027682227846482e-08 0.0007992980845505017 1.1428611839392025e-14 3.766954404457412e-12 7.25204437977104e-11
1.0177867039080901 4.117767456101939e-13 3.393222771472301e-14 2.7702325398038768e-12 3.084262311164702e-13 3.5178719712647037e-19 1.1543830316885645e-14 3.6147618060396593e-37 1.0280440637373494e-12 4.0211627457792077e-13 4.823811914907142e-12 6.839552779937427e-05 0.000317474950839206 1.3358382487857254e-06 8.027680186416159e-08 0.0007992980845504067 1.1424567116355414e-14 3.762027305166272e-12 8.00706183849848e-11
1.0381424379862518 4.717614164897966e-13 3.966896516727259e-14 3.110266459800426e-12 3.462921089503913e-13 3.9500137056748135e-19 1.296169678041089e-14 4.141967691133547e-37 1.1530999323967728e-12 4.281133982329694e-13 5.088086161779246e-12 6.839552778951232e-05 0.00031747495078149904 1.335838212628507e-06 8.02767787819134e-08 0.0007992980845503 1.1420303799409447e-14 3.756875144619038e-12 8.822382222141725e-11
1.0584981720644138 5.39655161116329e-13 4.630431836341728e-14 3.486691958630439e-12 3.8821169782499173e-13 4.428411692937041e-19 1.4531292300366372e-14 4.738901240064047e-37 1.2914021187931826e-12 4.572567157143854e-13 5.388941562406691e-12 6.83955277783044e-05 0.00031747495071651196 1.3358381722585858e-06 8.027675268975447e-08 0.0007992980845501804 1.141581557965042e-14 3.751498052858655e-12 9.701252367443884e-11
1.0788539061425755 6.163734649015358e-13 5.396654223037821e-14 3.902695062108161e-12 4.345400102408398e-13 4.957111374879639e-19 1.626587205083377e-14 5.413741074660945e-37 1.4441465409681202e-12 4.897439102279351e-13 5.72891669360369e-12 6.839552776558386e-05 0.00031747495064342915 1.3358381272173335e-06 8.027672321631085e-08 0.0007992980845500463 1.1411094957799839e-14 3.7458960467414465e-12 1.0646981860116203e-10
1.0992096402207374 7.029208101885794e-13 6.280022609428365e-14 4.361661746733467e-12 4.856543792086973e-13 5.540402303123009e-19 1.8179519969471776e-14 6.175329821007251e-37 1.6126133770810027e-12 5.257505623981904e-13 6.1102351279260945e-12 6.839552775116582e-05 0.0003174749505613578 1.3358380770006077e-06 8.027668996141222e-08 0.0007992980845498963 1.1406133031864265e-14 3.74006889567666e-12 1.1662934271821922e-10
1.1195653742988991 8.003978761157098e-13 7.296816494364404e-14 4.867184923577376e-12 5.419553716790184e-13 6.182842747391005e-19 2.0287186103833106e-14 7.033360638385339e-37 1.7981685659559214e-12 5.654317608356164e-13 6.5348257555974015e-12 6.83955277348455e-05 0.0003174749504693226 1.3358380210552237e-06 8.027665249700351e-08 0.0007992980845497289 1.14009193032808e-14 3.734015992739302e-12 1.2752517400941015e-10
1.1399211083770608 9.100089270501515e-13 8.465343108595566e-14 5.42306910623334e-12 6.038675407382136e-13 6.8892742501661325e-19 2.2604716185252737e-14 7.995556573290873e-37 2.0022645652506395e-12 6.089245719392081e-13 7.004355708244757e-12 6.839552771639654e-05 0.00031747495036626224 1.3358379587761615e-06 8.027661036834485e-08 0.0007992980845495421 1.1395441507430152e-14 3.727736235174647e-12 1.3919172684048792e-10
1.1602768424552228 1.0330650890274598e-12 9.80610283494446e-14 6.033332601027573e-12 6.718369677284483e-13 7.664775438116061e-19 2.5148786842682196e-14 9.073315696643828e-37 2.2264402854567788e-12 6.563510457824383e-13 7.520271421245469e-12 6.839552769557244e-05 0.0003174749502510295 1.3358378895074857e-06 8.027656309539202e-08 0.0007992980845493342 1.1389685472599446e-14 3.721227917670653e-12 1.5166363992804625e-10
1.1806325765333845 1.1710081112116973e-12 1.1342191971566615e-13 6.702259132586913e-12 7.46342370938582e-13 8.51478806593007e-19 2.7937281828290138e-14 1.0281330592041207e-36 2.4723202460286956e-12 7.078213125205579e-13 8.083841118186678e-12 6.83955276720935e-05 0.00031747495012234245 1.3358378125125737e-06 8.027651017373527e-08 0.0007992980845491028 1.1383635008831377e-14 3.714488640633341e-12 1.6497566150636916e-10
1.2009883106115464 1.3254086324377689e-12 1.3099466355877197e-13 7.434383649655296e-12 8.278883243469595e-13 9.445060476116974e-19 3.098908078977359e-14 1.1635377379248327e-36 2.7416123188354742e-12 7.634392544592587e-13 8.696241633945318e-12 6.83955276456537e-05 0.0003174749499788076 1.335837726988751e-06 8.027645109052489e-08 0.0007992980845488458 1.1377271841414418e-14 3.707515254756081e-12 1.7916251460597297e-10
1.2213440446897081 1.4979783420578485e-12 1.5106849398356316e-13 8.234526018479665e-12 9.17007485663337e-13 1.04616717812769e-18 3.432415225331515e-14 1.314884217442442e-36 3.036092747290392e-12 8.233023253563528e-13 9.35854943426374e-12 6.839552761591638e-05 0.0003174749498188908 1.335837632051906e-06 8.027638530917817e-08 0.0007992980845485607 1.1370575554985776e-14 3.7003038025793496e-12 1.9425880275790933e-10
1.24169977876787 1.6906201914603637e-12 1.739700239361529e-13 9.107998595752766e-12 1.0142845166667357e-12 1.1571248677115336e-18 3.796447546529466e-14 1.4838542898664492e-36 3.357618941170883e-12 8.875034375238823e-13 1.0071765847497744e-11 6.839552758248688e-05 0.000317474949640745 1.3358375266456235e-06 8.027631225194318e-08 0.0007992980845482442 1.1363523560236164e-14 3.692849471299142e-12 2.1029889840984122e-10
